time,Tf_1,Tf_2,Ts,hsf,v_1,v_2
156,303.05000026806,303.05000026876,303.05000024937,100000000000,-4.8687761592016e-05,-4.6958555004926e-05
157,303.05000026969,303.05000027039,303.050000251,100000000000,-4.8687761593313e-05,-4.6958555004133e-05
158,303.05000027132,303.05000027202,303.05000025263,100000000000,-4.8687761593889e-05,-4.6958555004493e-05
159,303.05000027295,303.05000027364,303.05000025426,100000000000,-4.8687761592304e-05,-4.6958555004854e-05
160,303.05000027458,303.05000027527,303.05000025588,100000000000,-4.8687761593601e-05,-4.6958555005214e-05
161,303.05000027621,303.0500002769,303.05000025751,100000000000,-4.8687761593601e-05,-4.6958555004421e-05
162,303.05000027783,303.05000027853,303.05000025914,100000000000,-4.8687761593024e-05,-4.695855500471e-05
163,303.05000027946,303.05000028016,303.05000026076,100000000000,-4.8687761593169e-05,-4.6958555005142e-05
164,303.05000028109,303.05000028178,303.05000026239,100000000000,-4.8687761593889e-05,-4.695855500543e-05
165,303.05000028272,303.05000028341,303.05000026402,100000000000,-4.868776159216e-05,-4.695855500471e-05
166,303.05000028435,303.05000028504,303.05000026564,100000000000,-4.8687761593457e-05,-4.6958555004998e-05
167,303.05000028598,303.05000028667,303.05000026727,100000000000,-4.868776159288e-05,-4.6958555004133e-05
168,303.0500002876,303.05000028829,303.0500002689,100000000000,-4.8687761593601e-05,-4.6958555004565e-05
169,303.05000028923,303.05000028992,303.05000027052,100000000000,-4.8687761593457e-05,-4.6958555004854e-05
170,303.05000029086,303.05000029155,303.05000027215,100000000000,-4.8687761593024e-05,-4.6958555004061e-05
171,303.05000029249,303.05000029317,303.05000027377,100000000000,-4.8687761593024e-05,-4.6958555005502e-05
172,303.05000029412,303.0500002948,303.0500002754,100000000000,-4.8687761593745e-05,-4.6958555004782e-05
173,303.05000029574,303.05000029643,303.05000027703,100000000000,-4.8687761593169e-05,-4.6958555004998e-05
174,303.05000029737,303.05000029806,303.05000027865,100000000000,-4.8687761593169e-05,-4.6958555005358e-05
175,303.050000299,303.05000029968,303.05000028028,100000000000,-4.8687761592736e-05,-4.6958555004565e-05
176,303.05000030063,303.05000030131,303.05000028191,100000000000,-4.8687761594465e-05,-4.6958555004926e-05
177,303.05000030225,303.05000030294,303.05000028353,100000000000,-4.8687761593889e-05,-4.6958555004061e-05
178,303.05000030388,303.05000030456,303.05000028516,100000000000,-4.8687761593889e-05,-4.6958555004349e-05
179,303.05000030551,303.05000030619,303.05000028678,100000000000,-4.8687761594321e-05,-4.6958555004638e-05
180,303.05000030714,303.05000030782,303.05000028841,100000000000,-4.8687761594033e-05,-4.6958555004998e-05
181,303.05000030876,303.05000030944,303.05000029004,100000000000,-4.8687761593313e-05,-4.6958555004205e-05
182,303.05000031039,303.05000031107,303.05000029166,100000000000,-4.8687761593889e-05,-4.6958555004493e-05
183,303.05000031202,303.0500003127,303.05000029329,100000000000,-4.8687761592736e-05,-4.6958555004782e-05
184,303.05000031365,303.05000031432,303.05000029491,100000000000,-4.8687761593457e-05,-4.6958555006294e-05
185,303.05000031527,303.05000031595,303.05000029654,100000000000,-4.8687761592736e-05,-4.6958555004277e-05
186,303.0500003169,303.05000031758,303.05000029817,100000000000,-4.8687761593313e-05,-4.6958555005718e-05
187,303.05000031853,303.0500003192,303.05000029979,100000000000,-4.8687761594033e-05,-4.6958555004854e-05
188,303.05000032015,303.05000032083,303.05000030142,100000000000,-4.8687761593457e-05,-4.6958555003989e-05
189,303.05000032178,303.05000032246,303.05000030304,100000000000,-4.8687761593889e-05,-4.6958555004349e-05
190,303.05000032341,303.05000032408,303.05000030467,100000000000,-4.8687761593313e-05,-4.6958555004565e-05
191,303.05000032504,303.05000032571,303.0500003063,100000000000,-4.8687761593889e-05,-4.6958555004926e-05
192,303.05000032666,303.05000032734,303.05000030792,100000000000,-4.8687761592736e-05,-4.6958555004061e-05
193,303.05000032829,303.05000032896,303.05000030955,100000000000,-4.8687761593313e-05,-4.6958555004421e-05
194,303.05000032992,303.05000033059,303.05000031117,100000000000,-4.8687761593313e-05,-4.695855500579e-05
195,303.05000033154,303.05000033222,303.0500003128,100000000000,-4.8687761593169e-05,-4.6958555004926e-05
196,303.05000033317,303.05000033384,303.05000031442,100000000000,-4.8687761593024e-05,-4.6958555005214e-05
197,303.0500003348,303.05000033547,303.05000031605,100000000000,-4.8687761593169e-05,-4.6958555005502e-05
198,303.05000033642,303.05000033709,303.05000031768,100000000000,-4.8687761593601e-05,-4.695855500471e-05
199,303.05000033805,303.05000033872,303.0500003193,100000000000,-4.8687761594033e-05,-4.6958555004926e-05
200,303.05000033968,303.05000034035,303.05000032093,100000000000,-4.8687761593601e-05,-4.6958555006438e-05
201,303.0500003413,303.05000034197,303.05000032255,100000000000,-4.8687761593457e-05,-4.6958555005502e-05
202,303.05000034293,303.0500003436,303.05000032418,100000000000,-4.8687761593457e-05,-4.695855500471e-05
203,303.05000034456,303.05000034522,303.0500003258,100000000000,-4.868776159288e-05,-4.6958555004854e-05
204,303.05000034618,303.05000034685,303.05000032743,100000000000,-4.8687761593889e-05,-4.6958555005214e-05
205,303.05000034781,303.05000034848,303.05000032906,100000000000,-4.8687761593313e-05,-4.6958555004277e-05
206,303.05000034944,303.0500003501,303.05000033068,100000000000,-4.8687761594465e-05,-4.6958555005718e-05
207,303.05000035106,303.05000035173,303.05000033231,100000000000,-4.8687761594321e-05,-4.6958555004854e-05
208,303.05000035269,303.05000035336,303.05000033393,100000000000,-4.8687761593601e-05,-4.6958555006294e-05
209,303.05000035432,303.05000035498,303.05000033556,100000000000,-4.8687761594321e-05,-4.695855500543e-05
210,303.05000035594,303.05000035661,303.05000033718,100000000000,-4.8687761594609e-05,-4.6958555004493e-05
211,303.05000035757,303.05000035823,303.05000033881,100000000000,-4.8687761593024e-05,-4.6958555004782e-05
212,303.0500003592,303.05000035986,303.05000034043,100000000000,-4.8687761595041e-05,-4.6958555006222e-05
213,303.05000036082,303.05000036149,303.05000034206,100000000000,-4.868776159216e-05,-4.6958555005286e-05
214,303.05000036245,303.05000036311,303.05000034368,100000000000,-4.8687761593745e-05,-4.6958555004421e-05
215,303.05000036407,303.05000036474,303.05000034531,100000000000,-4.8687761593024e-05,-4.6958555004638e-05
216,303.0500003657,303.05000036636,303.05000034694,100000000000,-4.8687761593745e-05,-4.6958555004998e-05
217,303.05000036733,303.05000036799,303.05000034856,100000000000,-4.868776159288e-05,-4.6958555005214e-05
218,303.05000036895,303.05000036961,303.05000035019,100000000000,-4.8687761594033e-05,-4.6958555004277e-05
219,303.05000037058,303.05000037124,303.05000035181,100000000000,-4.8687761593313e-05,-4.6958555005646e-05
220,303.05000037221,303.05000037287,303.05000035344,100000000000,-4.8687761593745e-05,-4.6958555004782e-05
221,303.05000037383,303.05000037449,303.05000035506,100000000000,-4.8687761593601e-05,-4.695855500507e-05
222,303.05000037546,303.05000037612,303.05000035669,100000000000,-4.868776159288e-05,-4.6958555005286e-05
223,303.05000037708,303.05000037774,303.05000035831,100000000000,-4.8687761594033e-05,-4.6958555004421e-05
224,303.05000037871,303.05000037937,303.05000035994,100000000000,-4.8687761593745e-05,-4.6958555004638e-05
225,303.05000038034,303.050000381,303.05000036156,100000000000,-4.8687761593169e-05,-4.6958555006006e-05
226,303.05000038196,303.05000038262,303.05000036319,100000000000,-4.8687761593745e-05,-4.6958555005142e-05
227,303.05000038359,303.05000038425,303.05000036481,100000000000,-4.8687761594609e-05,-4.6958555004205e-05
228,303.05000038521,303.05000038587,303.05000036644,100000000000,-4.868776159288e-05,-4.6958555005646e-05
229,303.05000038684,303.0500003875,303.05000036807,100000000000,-4.8687761594465e-05,-4.6958555005862e-05
230,303.05000038847,303.05000038912,303.05000036969,100000000000,-4.8687761593169e-05,-4.6958555004926e-05
231,303.05000039009,303.05000039075,303.05000037132,100000000000,-4.8687761593745e-05,-4.6958555003989e-05
232,303.05000039172,303.05000039238,303.05000037294,100000000000,-4.8687761593457e-05,-4.6958555005358e-05
233,303.05000039334,303.050000394,303.05000037457,100000000000,-4.8687761593889e-05,-4.6958555004493e-05
234,303.05000039497,303.05000039563,303.05000037619,100000000000,-4.8687761593745e-05,-4.695855500471e-05
235,303.0500003966,303.05000039725,303.05000037782,100000000000,-4.8687761593169e-05,-4.6958555004926e-05
236,303.05000039822,303.05000039888,303.05000037944,100000000000,-4.8687761593457e-05,-4.6958555005214e-05
237,303.05000039985,303.0500004005,303.05000038107,100000000000,-4.8687761593457e-05,-4.695855500543e-05
238,303.05000040148,303.05000040213,303.05000038269,100000000000,-4.8687761593745e-05,-4.6958555004493e-05
239,303.0500004031,303.05000040375,303.05000038432,100000000000,-4.8687761593601e-05,-4.6958555007015e-05
240,303.05000040473,303.05000040538,303.05000038594,100000000000,-4.8687761594033e-05,-4.6958555004926e-05
241,303.05000040635,303.05000040701,303.05000038757,100000000000,-4.8687761593313e-05,-4.6958555005142e-05
242,303.05000040798,303.05000040863,303.05000038919,100000000000,-4.8687761593169e-05,-4.6958555004205e-05
243,303.0500004096,303.05000041026,303.05000039082,100000000000,-4.8687761593601e-05,-4.6958555006799e-05
244,303.05000041123,303.05000041188,303.05000039244,100000000000,-4.8687761594033e-05,-4.695855500471e-05
245,303.05000041286,303.05000041351,303.05000039407,100000000000,-4.8687761592592e-05,-4.6958555004926e-05
246,303.05000041448,303.05000041513,303.0500003957,100000000000,-4.8687761594753e-05,-4.695855500507e-05
247,303.05000041611,303.05000041676,303.05000039732,100000000000,-4.8687761594177e-05,-4.695855500651e-05
248,303.05000041773,303.05000041839,303.05000039895,100000000000,-4.8687761593745e-05,-4.6958555004349e-05
249,303.05000041936,303.05000042001,303.05000040057,100000000000,-4.8687761593169e-05,-4.6958555004638e-05
250,303.05000042099,303.05000042164,303.0500004022,100000000000,-4.8687761594033e-05,-4.6958555006006e-05
251,303.05000042261,303.05000042326,303.05000040382,100000000000,-4.8687761593457e-05,-4.6958555004998e-05
252,303.05000042424,303.05000042489,303.05000040545,100000000000,-4.8687761593024e-05,-4.6958555005286e-05
253,303.05000042586,303.05000042651,303.05000040707,100000000000,-4.8687761593601e-05,-4.695855500543e-05
254,303.05000042749,303.05000042814,303.0500004087,100000000000,-4.8687761593313e-05,-4.6958555005646e-05
255,303.05000042912,303.05000042976,303.05000041032,100000000000,-4.8687761592736e-05,-4.695855500471e-05
256,303.05000043074,303.05000043139,303.05000041195,100000000000,-4.8687761593457e-05,-4.6958555006078e-05
257,303.05000043237,303.05000043302,303.05000041357,100000000000,-4.868776159288e-05,-4.6958555003989e-05
258,303.05000043399,303.05000043464,303.0500004152,100000000000,-4.8687761594897e-05,-4.6958555005286e-05
259,303.05000043562,303.05000043627,303.05000041682,100000000000,-4.8687761594177e-05,-4.6958555005502e-05
260,303.05000043725,303.05000043789,303.05000041845,100000000000,-4.8687761592736e-05,-4.6958555004565e-05
261,303.05000043887,303.05000043952,303.05000042007,100000000000,-4.8687761594897e-05,-4.6958555004782e-05
262,303.0500004405,303.05000044114,303.0500004217,100000000000,-4.868776159288e-05,-4.6958555004998e-05
263,303.05000044212,303.05000044277,303.05000042332,100000000000,-4.8687761595185e-05,-4.6958555005142e-05
264,303.05000044375,303.05000044439,303.05000042495,100000000000,-4.8687761593745e-05,-4.6958555006582e-05
265,303.05000044537,303.05000044602,303.05000042657,100000000000,-4.8687761594033e-05,-4.6958555005574e-05
266,303.050000447,303.05000044764,303.0500004282,100000000000,-4.8687761593889e-05,-4.6958555005718e-05
267,303.05000044863,303.05000044927,303.05000042983,100000000000,-4.8687761593024e-05,-4.6958555006006e-05
