Time,In_column_Top
4958,302.1815
4959,302.1815
4960,302.1785
4961,302.1785
4962,302.1815
4963,302.1875
4964,302.1875
4965,302.1755
4966,302.1705
4967,302.1705
4968,302.1785
4969,302.1785
4970,302.1775
4971,302.1765
4972,302.1765
4973,302.1775
4974,302.1775
4975,302.1775
4976,302.1655
4977,302.1645
4978,302.1655
4979,302.1695
4980,302.1695
4981,302.1715
4982,302.1725
4983,302.1725
4984,302.1805
4985,302.1825
4986,302.1805
4987,302.1715
4988,302.1715
4989,302.1765
4990,302.1815
4991,302.1815
4992,302.1715
4993,302.1685
4994,302.1685
4995,302.1725
4996,302.1725
4997,302.1735
4998,302.1745
4999,302.1745
5000,302.1665
5001,302.1645
5002,302.1645
5003,302.1675
5004,302.1675
5005,302.1695
5006,302.1745
5007,302.1745
5008,302.1715
5009,302.1695
5010,302.1695
5011,302.1685
5012,302.1685
5013,302.1695
5014,302.1715
5015,302.1715
5016,302.1705
5017,302.1705
5018,302.1705
5019,302.1645
5020,302.1645
5021,302.1675
5022,302.1805
5023,302.1805
5024,302.1765
5025,302.1735
5026,302.1735
5027,302.1665
5028,302.1655
5029,302.1655
5030,302.1675
5031,302.1675
5032,302.1645
5033,302.1615
5034,302.1615
5035,302.1595
5036,302.1585
5037,302.1585
5038,302.1625
5039,302.1625
5040,302.1615
5041,302.1605
5042,302.1605
5043,302.1605
5044,302.1605
5045,302.1605
5046,302.1625
5047,302.1625
5048,302.1635
5049,302.1665
5050,302.1665
5051,302.1685
5052,302.1695
5053,302.1695
5054,302.1665
5055,302.1665
5056,302.1645
5057,302.1605
5058,302.1605
5059,302.1665
5060,302.1715
5061,302.1715
5062,302.1665
5063,302.1655
5064,302.1655
5065,302.1665
5066,302.1665
5067,302.1665
5068,302.1655
5069,302.1655
5070,302.1625
5071,302.1615
5072,302.1615
5073,302.1665
5074,302.1665
5075,302.1645
5076,302.1625
5077,302.1625
5078,302.1685
5079,302.1715
5080,302.1705
5081,302.1625
5082,302.1625
5083,302.1625
5084,302.1635
5085,302.1635
5086,302.1665
5087,302.1675
5088,302.1675
5089,302.1725
5090,302.1725
5091,302.1745
5092,302.1795
5093,302.1795
5094,302.1775
5095,302.1765
5096,302.1765
5097,302.1655
5098,302.1645
5099,302.1645
5100,302.1665
5101,302.1665
5102,302.1745
5103,302.1815
5104,302.1815
5105,302.1835
5106,302.1835
5107,302.1835
5108,302.1855
5109,302.1855
5110,302.1835
5111,302.1805
5112,302.1805
5113,302.1715
5114,302.1685
5115,302.1685
5116,302.1675
5117,302.1675
5118,302.1695
5119,302.1725
5120,302.1725
5121,302.1715
5122,302.1705
5123,302.1705
5124,302.1695
5125,302.1695
5126,302.1715
5127,302.1745
5128,302.1745
5129,302.1705
5130,302.1685
5131,302.1685
5132,302.1655
5133,302.1655
5134,302.1685
5135,302.1755
5136,302.1755
5137,302.1725
5138,302.1695
5139,302.1695
5140,302.1655
5141,302.1645
5142,302.1665
5143,302.1745
5144,302.1745
5145,302.1715
5146,302.1675
5147,302.1675
5148,302.1675
5149,302.1675
5150,302.1685
